Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
1,Matty Cash,pl POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,3.4,3.4,3.3,6.7,2389cdc2
2,Conor Coady,eng ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,4,0,0,4,0,2.9,2.9,0.1,3.0,2928dca2
3,David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7ba6d84e
4,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,8f62b6ee
5,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6b625ac2
6,Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,3bb7b8b4
7,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,9328b835
8,Pontus Jansson,se SWE,DF,Brentford,30,1991,37,37,3321,36.9,3,1,3,0,0,7,0,3.0,3.0,0.5,3.5,172e52d8
9,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,12.7,10.3,3.6,14.0,0745b37d
10,José Sá,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,0,1,0,0,0,3,0,0.0,0.0,0.4,0.4,903b6e8b
11,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,6a713852
12,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,53af52f3
13,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,7a2e46a8
14,João Cancelo,pt POR,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,5.1,5.1,6.1,11.2,bd6351cd
15,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,36,36,3222,35.8,2,1,2,0,0,4,0,2.4,2.4,1.2,3.6,d0706b27
16,Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,36,36,3196,35.5,2,2,2,0,0,3,0,2.8,2.8,2.3,5.1,8b04d6c1
17,Harry Kane,eng ENG,FW,Tottenham,28,1993,37,36,3232,35.9,17,9,13,4,4,5,0,19.6,16.4,9.3,25.7,21a66f6a
18,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,7956236f
19,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36.0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4b40d9ca
20,Bukayo Saka,eng ENG,MF,Arsenal,19,2001,38,36,2978,33.1,11,7,9,2,2,6,0,11.2,10.2,8.3,18.5,bc7dc64d
21,Moussa Sissoko,fr FRA,MF,Watford,31,1989,36,36,3220,35.8,2,1,2,0,0,5,0,3.4,3.3,4.3,7.6,2acd49b9
22,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,36,36,3215,35.7,10,5,6,4,4,3,1,5.9,2.7,7.3,10.0,3515d404
23,Marc Cucurella,es ESP,DF,Brighton,23,1998,35,35,3089,34.3,1,1,1,0,0,6,0,1.0,1.0,3.2,4.2,1daec722
24,Eric Dier,eng ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,0,1,0,1.3,1.3,0.7,2.0,ac861941
25,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,35,3063,34.0,5,0,5,0,0,8,1,3.3,3.3,0.8,4.1,67ac5bb8
26,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,10,0,2,10,0,11.6,10.0,9.7,19.7,507c7bdf
27,Son Heung-min,kr KOR,MFFW,Tottenham,29,1992,35,35,3006,33.4,23,7,23,0,0,2,0,15.6,15.6,8.5,24.1,92e7e919
28,John McGinn,sct SCO,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,3,0,0,8,0,1.8,1.8,5.4,7.2,90f91999
29,Dwight McNeil,eng ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,0,0,0,1,0,2.9,2.9,5.3,8.3,fc15fb84
30,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,1,0,0,11,0,2.2,2.2,1.1,3.3,8397a50c
31,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,0,0,0,1,0,0.4,0.4,1.8,2.3,5cbd1eb0
32,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,4.3,4.3,3.9,8.2,df0a4c90
33,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35.0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4806ec67
34,Declan Rice,eng ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,1,0,0,8,0,1.6,1.6,2.1,3.7,1c7012b8
35,James Tarkowski,eng ENG,DF,Burnley,28,1992,35,35,3106,34.5,1,2,1,0,0,11,0,2.8,2.8,0.8,3.6,15ea812b
36,Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2971,33.0,10,8,10,0,1,8,1,12.8,12.3,6.9,19.2,ac05f970
37,Jarrod Bowen,eng ENG,MF,West Ham,24,1996,36,34,2983,33.1,12,10,12,0,0,6,0,13.3,13.3,5.9,19.2,79c84d1c
38,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,34,34,2919,32.4,1,1,1,0,0,5,0,2.3,2.3,2.8,5.2,67ca8566
39,Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,35,34,2905,32.3,4,7,3,1,1,4,0,9.6,8.8,4.1,12.9,6afaebf2
40,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,3060,34.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,33887998
41,João Moutinho,pt POR,MF,Wolves,34,1986,35,34,2970,33.0,2,1,2,0,0,4,0,1.4,1.4,3.0,4.4,f5a00fa4
42,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,3060,34.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466fb2c5
43,Raphinha,br BRA,MFFW,Leeds United,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,11.3,8.1,8.3,16.4,3423f250
44,Oriol Romeu,es ESP,MF,Southampton,29,1991,36,34,2889,32.1,2,2,2,0,0,9,0,1.7,1.7,3.0,4.7,4b511457
45,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,34,34,3035,33.7,3,0,3,0,0,9,0,3.1,3.1,0.8,3.9,18b896d6
46,Tomáš Souček,cz CZE,MF,West Ham,26,1995,35,34,3062,34.0,5,1,5,0,0,3,0,5.7,5.1,2.1,7.2,6613c819
47,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,34,3060,34.0,3,1,3,0,0,3,0,2.5,2.5,1.7,4.2,e06683ca
48,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,34,33,2845,31.6,8,3,8,0,0,10,0,7.7,7.7,3.5,11.2,c2731c10
49,Grant Hanley,sct SCO,DF,Norwich City,29,1991,33,33,2897,32.2,1,0,1,0,0,2,0,2.1,2.1,0.7,2.9,e9254eec
50,Rico Henry,eng ENG,DF,Brentford,24,1997,34,33,2776,30.8,3,0,3,0,0,2,0,1.5,1.5,1.9,3.4,8a3c1dc7
51,Aymeric Laporte,es ESP,DF,Manchester City,27,1994,33,33,2828,31.4,4,0,4,0,0,5,1,4.7,4.7,0.8,5.5,119b9a8e
52,Rodri,es ESP,MF,Manchester City,25,1996,33,33,2884,32.0,7,2,7,0,0,5,0,3.0,3.0,1.9,4.9,6434f10d
53,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,34,33,2972,33.0,0,0,0,0,0,10,1,2.0,2.0,0.7,2.7,0b33f6ad
54,Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,35,33,2857,31.7,8,4,8,0,0,6,0,7.6,7.6,7.8,15.4,3eb22ec9
55,Joël Veltman,nl NED,DF,Brighton,29,1992,34,33,2874,31.9,1,1,1,0,0,6,0,0.9,0.9,1.8,2.7,dad4b285
56,Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,35,33,2952,32.8,11,2,10,1,1,7,0,11.0,10.4,3.7,14.2,aed3a70f
57,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2881,32.0,0,2,0,0,0,8,0,0.9,0.9,1.6,2.5,774cf58b
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,2,0,0,2,0,2.9,2.9,12.9,15.8,cd1acf9d
59,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,32,2916,32.4,0,3,0,0,0,4,0,0.9,0.9,2.1,2.9,e34fc66d
60,Josh Brownhill,eng ENG,MF,Burnley,25,1995,35,32,2955,32.8,2,3,2,0,0,10,0,1.7,1.7,3.2,4.9,47369df8
61,Pablo Fornals,es ESP,MF,West Ham,25,1996,36,32,2795,31.1,6,3,6,0,0,4,0,5.2,5.2,7.6,12.7,82927de4
62,Jack Harrison,eng ENG,MFFW,Leeds United,24,1996,35,32,2639,29.3,8,1,8,0,0,3,0,4.9,4.9,3.6,8.5,aa849a12
63,Sadio Mané,sn SEN,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,16,0,0,5,0,18.3,18.3,5.9,24.3,c691bfe2
64,Martin Ødegaard,no NOR,MFFW,Arsenal,22,1998,36,32,2785,30.9,7,4,7,0,0,4,0,5.2,5.2,7.7,12.9,79300479
65,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,32,32,2694,29.9,1,1,1,0,0,1,0,1.6,1.6,1.2,2.7,e541326e
66,Ivan Toney,eng ENG,FW,Brentford,25,1996,33,32,2909,32.3,12,5,7,5,5,8,0,12.4,8.5,5.9,14.4,e09f279b
67,Leandro Trossard,be BEL,FWMF,Brighton,26,1994,34,32,2805,31.2,8,3,7,1,1,2,0,7.6,6.8,5.3,12.1,38ceb24a
68,Ben White,eng ENG,DF,Arsenal,23,1997,32,32,2880,32.0,0,0,0,0,0,3,0,1.0,1.0,1.5,2.5,35e413f1
69,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,31,31,2726,30.3,2,3,2,0,0,3,0,1.3,1.3,3.7,5.0,4f974391
70,Michael Keane,eng ENG,DF,Everton,28,1993,32,31,2792,31.0,3,2,3,0,0,4,1,1.6,1.6,1.5,3.0,c5b7c315
71,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,34,31,2715,30.2,2,3,2,0,0,7,0,2.0,2.0,3.2,5.2,6f7d826d
72,Joël Matip,cm CMR,DF,Liverpool,29,1991,31,31,2790,31.0,3,3,3,0,0,2,0,3.5,3.5,1.3,4.9,b217ef29
73,Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,4,0,0,9,0,1.7,1.7,2.5,4.2,44bfb6c5
74,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,35,31,2804,31.2,5,5,5,0,0,6,0,5.7,5.7,4.9,10.5,2b16cb1a
75,Romain Saïss,ma MAR,DF,Wolves,31,1990,31,31,2705,30.1,2,0,2,0,0,6,0,3.0,3.0,0.5,3.5,9fbbcf39
76,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,28,1992,33,31,2760,30.7,14,1,9,5,7,6,1,11.0,5.4,6.8,12.2,b2bc3b1f
77,Jan Bednarek,pl POL,DF,Southampton,25,1996,31,30,2629,29.2,4,0,4,0,0,10,0,2.4,2.4,0.5,2.9,4115ce4e
78,Séamus Coleman,ie IRL,DF,Everton,32,1988,30,30,2656,29.5,1,0,1,0,0,4,0,1.1,1.1,0.7,1.9,0420d84f
79,Craig Dawson,eng ENG,DF,West Ham,31,1990,34,30,2754,30.6,2,2,2,0,0,5,1,3.5,3.5,0.9,4.4,3e9e06cb
80,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,33,30,2581,28.7,10,6,10,0,0,9,1,7.7,7.6,4.6,12.2,2c44a35d
81,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,ab13a5aa
82,Raúl Jiménez,mx MEX,FW,Wolves,30,1991,34,30,2631,29.2,6,4,5,1,1,9,2,6.4,5.8,3.5,9.3,b561db50
83,Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,35,30,2558,28.4,4,1,4,0,0,8,0,4.2,4.2,2.6,6.8,c17bfb65
84,Max Kilman,eng ENG,DF,Wolves,24,1997,30,30,2687,29.9,1,0,1,0,0,3,0,1.0,1.0,0.2,1.2,d0f72bf1
85,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,18,5,6,1,0,23.7,18.8,9.7,28.4,e342ad68
86,Charlie Taylor,eng ENG,DF,Burnley,27,1993,31,30,2731,30.3,0,3,0,0,0,3,0,0.3,0.3,3.5,3.7,cc2d7ad5
87,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,2,0,0,6,0,3.0,3.0,3.0,5.9,02b29014
88,Lewis Dunk,eng ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,1,0,0,3,1,1.6,1.6,0.5,2.2,282f75f3
89,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,35,29,2597,28.9,2,5,2,0,0,3,0,1.6,1.6,3.8,5.4,935e6b8f
90,Daniel James,wls WAL,FWMF,Leeds United,23,1997,32,29,2366,26.3,4,4,4,0,0,7,1,6.8,6.8,2.6,9.4,c931d9f9
91,Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,29,29,2477,27.5,2,0,2,0,0,6,2,1.9,1.9,0.3,2.2,0313a347
92,Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,2610,29.0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,f23f9d20
93,Kenny McLean,sct SCO,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,0,0,3,0,2.2,2.2,0.9,3.2,471f16b3
94,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,6,0,0,6,0,4.5,4.5,2.2,6.7,1544f145
95,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,3,0,0,5,1,1.6,1.6,6.0,7.6,2e4f5f03
96,Youri Tielemans,be BEL,MF,Leicester City,24,1997,32,29,2631,29.2,6,4,4,2,2,3,0,5.2,3.6,4.3,7.9,56f7a928
97,Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,32,29,2633,29.3,1,2,1,0,0,5,0,1.6,1.6,2.8,4.4,984a5a64
98,Ben Davies,wls WAL,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,1,0,0,6,0,2.1,2.1,0.8,3.0,44781702
99,Ben Gibson,eng ENG,DF,Norwich City,28,1993,28,28,2494,27.7,0,0,0,0,0,5,1,1.0,1.0,0.3,1.2,bcfb0142
100,Demarai Gray,eng ENG,MFFW,Everton,25,1996,34,28,2338,26.0,5,4,5,0,0,3,0,5.8,5.8,4.1,9.9,4468ec10
101,Diego Llorente,es ESP,DF,Leeds United,27,1993,28,28,2340,26.0,3,0,3,0,0,7,0,1.3,1.3,0.1,1.4,bba30585
102,James Maddison,eng ENG,MFFW,Leicester City,24,1996,35,28,2459,27.3,12,8,12,0,0,3,0,8.8,8.8,5.4,14.1,ee38d9c5
103,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,30,28,2515,27.9,1,0,1,0,0,9,1,2.4,2.4,0.2,2.6,d8931174
104,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,1,0,0,9,0,1.8,1.8,2.2,4.0,d93c2511
105,Richarlison,br BRA,FWMF,Everton,24,1997,30,28,2523,28.0,10,5,7,3,3,9,0,10.0,7.7,4.3,12.0,fa031b34
106,Thiago Silva,br BRA,DF,Chelsea,36,1984,32,28,2650,29.4,3,0,3,0,0,2,0,1.3,1.3,0.4,1.7,86e7deaf
107,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,28,28,2497,27.7,1,0,1,0,0,5,0,1.1,1.1,0.1,1.3,21166ff4
108,Craig Cathcart,nir NIR,DF,Watford,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,0.2,0.2,1.1,1.3,89e4b358
109,Rúben Dias,pt POR,DF,Manchester City,24,1997,29,27,2402,26.7,2,4,2,0,0,5,0,2.7,2.7,3.1,5.7,31c69ef1
110,Vitaly Janelt,de GER,MF,Brentford,23,1998,31,27,2298,25.5,4,0,4,0,0,3,0,3.0,3.0,2.1,5.1,8449d35e
111,Diogo Jota,pt POR,FW,Liverpool,24,1996,35,27,2364,26.3,15,4,15,0,0,3,0,16.9,16.9,5.6,22.4,178ae8f8
112,Joshua King,no NOR,FWMF,Watford,29,1992,32,27,2248,25.0,5,3,4,1,1,5,0,9.4,8.6,3.9,12.5,43458538
113,Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,33,27,2265,25.2,1,0,1,0,0,5,0,1.7,1.7,1.9,3.6,f5044e54
114,Mason Mount,eng ENG,MF,Chelsea,22,1999,32,27,2363,26.3,11,10,10,1,1,4,0,8.8,8.0,7.6,15.7,9674002f
115,Rodrigo,es ESP,MFFW,Leeds United,30,1991,31,27,2265,25.2,6,1,5,1,1,9,0,4.6,3.8,4.3,8.1,1fb1c435
116,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,15,3,3,8,0,17.9,15.6,3.2,18.7,dea698d9
117,Joel Ward,eng ENG,DF,Crystal Palace,31,1989,28,27,2487,27.6,0,0,0,0,0,8,0,0.5,0.5,0.5,1.0,8a7ff278
118,Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,27,27,2327,25.9,1,2,1,0,0,10,1,1.7,1.7,3.1,4.8,e61b8aee
119,Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,26,2272,25.2,2,2,2,0,0,4,1,1.6,1.6,2.0,3.6,420d7c7d
120,Saïd Benrahma,dz ALG,MF,West Ham,25,1995,32,26,2168,24.1,8,6,8,0,0,0,0,6.0,6.0,4.5,10.5,5a04fd92
121,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26.0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3a949a25
122,Emerson,br BRA,DFMF,Tottenham,22,1999,31,26,2286,25.4,1,1,1,0,0,5,0,1.8,1.8,3.0,4.8,df8b52a5
123,Fabinho,br BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,3,2,2,7,0,4.0,2.5,1.6,4.0,7f3b388c
124,Kiko Femenía,es ESP,DF,Watford,30,1991,27,26,2142,23.8,0,5,0,0,0,2,0,0.2,0.2,3.2,3.4,e5d01ecf
125,Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,d0b3ceb9
126,Jorginho,it ITA,MF,Chelsea,29,1991,29,26,2273,25.3,6,2,0,6,7,5,0,6.0,0.5,2.4,2.8,45db685d
127,Mateusz Klich,pl POL,MF,Leeds United,31,1990,33,26,2073,23.0,1,2,1,0,0,5,0,3.8,3.8,2.3,6.0,282679b4
128,Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,28,26,2355,26.2,0,2,0,0,0,4,0,0.2,0.2,1.1,1.4,f5deef4c
129,Ashley Westwood,eng ENG,MF,Burnley,31,1990,27,26,2287,25.4,0,3,0,0,0,7,0,0.8,0.8,4.7,5.5,495945ef
130,Allan,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,0,0,0,7,1,0.3,0.3,1.1,1.4,cc700722
131,Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,25,2167,24.1,4,4,4,0,0,8,0,3.6,3.6,5.2,8.8,f4290206
132,Yves Bissouma,ml MLI,MF,Brighton,24,1996,26,25,2111,23.5,1,2,1,0,0,10,0,1.3,1.3,0.8,2.1,6c203af0
133,Sergi Canós,es ESP,DFFW,Brentford,24,1997,31,25,2083,23.1,3,2,3,0,0,8,1,3.4,3.4,1.9,5.3,1137759d
134,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,28,25,2209,24.5,0,4,0,0,0,5,1,1.0,1.0,2.9,3.9,fdf3cb77
